% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 16:42"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
5.66,8.434756612722466E-36
5.67,9.019637564514352E-36
5.68,9.530400840912033E-36
5.69,9.954172348606081E-36
5.7,1.0278077994287335E-35
5.71,1.0489243684646472E-35
5.72,1.0574795326374187E-35
5.73,1.0521858826161131E-35
5.74,1.0317560090698105E-35
5.75,9.949025026675686E-36
5.76,9.403379540784693E-36
5.7700000000000005,8.667749539715818E-36
5.78,7.729260930159758E-36
5.79,6.575039618807325E-36
5.8,5.192211512348988E-36
5.8100000000000005,3.5679025174754976E-36
5.82,1.689238540877756E-36
5.83,-4.566545107536249E-37
5.84,-2.8826507307279666E-36
5.8500000000000005,-5.601624212354774E-36
5.86,-8.626449048942906E-36
5.87,-1.1969999333801897E-35
5.88,-1.5645149160241E-35
5.89,-1.9664772621569378E-35
5.9,-2.4041743811097045E-35
5.91,-2.878893682213209E-35
5.92,-3.391922574798463E-35
5.93,-3.9445484681963814E-35
5.94,-4.5380587717379165E-35
5.95,-5.173740894753988E-35
5.96,-5.852882246575387E-35
5.97,-6.576770236533228E-35
5.98,-7.34669227395846E-35
5.99,-8.163935768181881E-35
6,-9.029788128534483E-35
6.01,-8.87937534712458E-35
6.0200000000000005,-6.77332499774405E-35
6.03,-2.9011768622498214E-35
6.04,2.547529277501812E-35
6.05,9.383253639654451E-35
6.0600000000000005,1.7416456442352167E-34
6.07,2.645759790373744E-34
6.08,3.6317138241954277E-34
6.09,4.680553767514618E-34
6.1000000000000005,5.773325642145705E-34
6.11,6.891075469903011E-34
6.12,8.014849272600837E-34
6.13,9.125693072053683E-34
6.140000000000001,1.020465289007576E-33
6.15,1.123277474848146E-33
6.16,1.2191104669085229E-33
6.17,1.3060688673701096E-33
6.18,1.3822572784143825E-33
6.19,1.4457803022227507E-33
6.2,1.4947425409766709E-33
6.21,1.5272485968575596E-33
6.22,1.5414030720468705E-33
6.23,1.5353105687260176E-33
6.24,1.507075689076432E-33
6.25,1.4548030352795843E-33
6.26,1.3765972095168744E-33
6.2700000000000005,1.270562813969763E-33
6.28,1.1348044508196742E-33
6.29,9.674267222480406E-34
6.3,7.665342304362966E-34
6.3100000000000005,5.30231577565863E-34
6.32,2.5662336581821578E-34
6.33,-5.618580262523065E-35
6.34,-4.100913255830423E-34
6.3500000000000005,-8.069886008738236E-34
6.36,-1.2487730263160554E-33
6.37,-1.7373399997283497E-33
6.38,-2.274584918929272E-33
6.390000000000001,-2.8624031817374184E-33
6.4,-3.5026901859712824E-33
6.41,-4.197341329449446E-33
6.42,-4.948252009990505E-33
6.43,-5.7573176254130065E-33
6.44,-6.626433573535637E-33
6.45,-7.557495252176703E-33
6.46,-8.55239805915496E-33
6.47,-9.613037392288924E-33
6.48,-1.0741308649397216E-32
6.49,-1.1939107228298248E-32
