% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 15 2026, 13:46"
% Table,Table_c_Pipe_1 - c_Pipe_1
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_2 (mol/m^3)
3.92,0.999972260950822,1.0006158914656655,1.0007568779228186
3.93,0.9999741013568407,1.0005307898025375,1.000662396589643
3.94,0.9999759417628601,1.0004456881394088,1.0005679152564677
3.95,0.9999777821688794,1.00036058647628,1.000473433923292
3.96,0.999979622574899,1.0002754848131516,1.0003789525901154
3.97,0.9999814629809186,1.0001903831500232,1.0002844712569405
3.98,0.9999833033869375,1.000144688071909,1.0002330958479504
3.99,0.9999851437929571,1.0001387708037792,1.0002252324372947
4,0.9999869841989757,1.0001328535356495,1.0002173690266383
4.01,0.9999888246049946,1.00012693626752,1.000209505615982
4.0200000000000005,0.9999906650110161,1.0001210189993908,1.000201642205326
4.03,0.9999925054170344,1.0001151017312613,1.0001937787946695
4.04,0.9999943458230538,1.0001091844631311,1.0001859153840136
4.05,0.9999961862290743,1.000103267195002,1.000178051973357
4.0600000000000005,0.9999980266350927,1.0000973499268724,1.000170188562701
4.07,0.9999998670411117,1.0000914326587425,1.000162325152045
4.08,1.0000017074471315,1.0000855153906123,1.0001544617413882
4.09,1.000002274631514,1.0000795981224837,1.0001465983307327
4.1,1.0000025163523323,1.000073680854354,1.0001387349200763
4.11,1.0000027580731523,1.000067763586224,1.0001308715094195
4.12,1.000002999793971,1.0000618463180941,1.000123008098764
4.13,1.00000324151479,1.000055929049965,1.0001151446881071
4.14,1.0000034832356093,1.0000500117818352,1.0001072812774512
4.15,1.0000037249564286,1.0000440945137055,1.0000994178667955
4.16,1.0000039666772487,1.0000381772455758,1.0000915544561388
4.17,1.0000042083980676,1.0000322599774463,1.0000836910454822
4.18,1.0000044501188863,1.0000263427093168,1.0000758276348263
4.19,1.000004691839706,1.000020425441187,1.0000679642241705
4.2,1.0000049335605252,1.0000145081730576,1.0000601008135137
4.21,1.0000051752813441,1.0000085909049274,1.0000522374028584
4.22,1.000005417002163,1.0000026736367986,1.0000443739922014
4.23,1.000005658722982,0.9999967563686682,1.0000365105815456
4.24,1.0000059004438022,0.9999908391005387,1.0000286471708892
4.25,1.0000061421646211,0.9999849218324097,1.0000207837602326
4.26,1.0000063838854403,0.9999790045642798,1.0000129203495765
4.2700000000000005,1.0000066256062583,0.99997308729615,1.000005056938921
4.28,1.0000068673270783,0.9999671700280206,0.9999971935282641
4.29,1.0000071090478981,0.9999612527598915,0.9999893301176084
4.3,1.0000073507687164,0.9999553354917616,0.9999814667069521
4.3100000000000005,1.0000075924895362,0.999949418223632,0.9999736032962956
4.32,1.000007834210356,0.9999435009555024,0.9999657398856394
4.33,1.0000080759311747,0.999937583687373,0.9999578764749829
4.34,1.000008317651994,0.9999316664192427,0.9999500130643271
4.3500000000000005,1.000008559372813,0.999925749151114,0.9999421496536703
4.36,1.0000088010936314,0.9999198318829844,0.9999342862430146
4.37,1.0000090428144515,0.9999139146148543,0.9999264228323586
4.38,1.0000092845352702,0.9999079973467248,0.9999185594217017
4.39,1.0000095262560902,0.9999020800785952,0.9999106960110459
4.4,1.0000097679769095,0.9998992932472425,0.9999067990467463
4.41,1.0000100096977287,0.9999002408667683,0.9999076338499739
4.42,1.0000102514185474,0.9999011884862936,0.9999084686532009
