% Model,COMSOL_3D_CNN_Design_3_Phase_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 11 2026, 14:52"
% Table,Table 9 - Concentration_CNN
% Time (s),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3)
11.8,1.5771600781870913E-4,7.715377463620174E-4,8.477760461086262E-4,8.502726254526775E-4,3.044045129606376E-4,0.0011350261409131378,0.0011751839334465345,1.4564576955167316E-4
11.9,1.5882222735152994E-4,7.559659577191192E-4,8.129607756503573E-4,8.167429758396257E-4,3.398440536391958E-4,0.0011507130719135418,0.0011568093114212657,1.463124513148568E-4
12,1.6145283774057496E-4,7.469996205374785E-4,7.790723141579859E-4,7.839247429904169E-4,3.832560506231452E-4,0.0011750538685920764,0.0011339106087753497,1.468652129925744E-4
12.100000000000001,1.6656278228412516E-4,7.460266011906923E-4,7.460737849501031E-4,7.521684878298011E-4,4.344398679560066E-4,0.0012080283767691073,0.0011069502155974134,1.473089513538501E-4
12.200000000000001,1.7537570031711373E-4,7.560844658219567E-4,7.141561140837855E-4,7.218533538270611E-4,4.926365530855566E-4,0.0012501581273427428,0.0010765025432847878,1.4764880403961734E-4
12.3,1.893775493277655E-4,7.815224871096357E-4,6.837725643641907E-4,6.934055349283385E-4,5.564291082577928E-4,0.0013004777575298155,0.0010431932444103845,1.4789056871861685E-4
12.4,2.1017445659469945E-4,8.263983824754899E-4,6.556488636863562E-4,6.672437043628499E-4,6.241099792454759E-4,0.0013572712996881137,0.001007741271349604,1.4804020718937346E-4
12.5,2.3916904645859436E-4,8.929416659400448E-4,6.305754036538559E-4,6.438035421710124E-4,6.934867252064099E-4,0.00141806081917327,9.708396202530722E-4,1.4810255830158216E-4
12.600000000000001,2.7736527666162315E-4,9.787948426536956E-4,6.091631111945978E-4,6.23546042052608E-4,7.623439157780866E-4,0.0014797987879706142,9.331048740092786E-4,1.4808384305711343E-4
12.700000000000001,3.2506264019457496E-4,0.0010798559592778171,5.917675885656094E-4,6.06716087192882E-4,8.285475726386646E-4,0.0015395804104195953,8.951289444857785E-4,1.480012917947708E-4
12.8,3.815731969625294E-4,0.0011889336577467359,5.784323319003906E-4,5.935100940913916E-4,8.899931578728187E-4,0.0015949074394463222,8.574469213678161E-4,1.4788602430729114E-4
12.9,4.452426164675679E-4,0.0012956424925938811,5.690050969241806E-4,5.840126054124862E-4,9.451263344583762E-4,0.0016438478727628062,8.204960146552781E-4,1.477918303351651E-4
