% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 17:05"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3)
3.5300000000000002,0.9421777764979075,0.8552199890292131
3.54,0.942705203812901,0.8562500855779183
3.5500000000000003,0.9432264883080368,0.8572714404508722
3.56,0.9437422413221466,0.8582840536480584
3.5700000000000003,0.9442520848892699,0.8592879251694997
3.58,0.9447560190093987,0.860283055015174
3.59,0.9452544043949831,0.8612694431850866
3.6,0.9457473614070248,0.8622470896792453
3.61,0.9462347017932776,0.8632180878214658
3.62,0.9467164411612626,0.8641812785169029
3.63,0.947193250426258,0.8651363229151386
3.64,0.9476647469333699,0.8660832210161818
3.65,0.9481309306826058,0.8670219728200501
3.66,0.94859206038355,0.8679525783267057
3.67,0.9490483780628521,0.8688750375361947
3.68,0.9494996594940419,0.869790118893232
3.69,0.9499459046770848,0.8706987658331786
3.7,0.950387631771504,0.8715998051915419
3.71,0.9508246249048158,0.8724932369683464
3.72,0.9512568395940587,0.873379061163568
3.73,0.951684449113804,0.8742572777772367
3.74,0.9521077986933815,0.8751278868093175
3.75,0.952526634033711,0.8759908882598235
3.7600000000000002,0.952940955134771,0.8768481647547385
3.77,0.9533511553389763,0.8776985638694074
3.7800000000000002,0.9537571655259501,0.8785418654014387
3.79,0.9541588964139969,0.8793780693508535
3.8000000000000003,0.9545564360715899,0.8802071757176207
3.81,0.9549501671258792,0.8810291845017553
3.8200000000000003,0.955339843271795,0.8818440957032713
3.83,0.9557254645093686,0.8826526341758658
3.84,0.9561073402971716,0.8834554751104241
3.85,0.9564855199829349,0.8842516761918345
3.86,0.956859873145742,0.8850412374201077
3.87,0.9572304277537497,0.8858241587952388
3.88,0.9575975817030429,0.8866004403172358
3.89,0.9579611012733078,0.887370081986076
3.9,0.9583209864645537,0.88813308380178
3.91,0.9586774343358123,0.888891141413557
3.92,0.9590305747657953,0.889643125922825
3.93,0.959380268103004,0.8903889089168999
3.94,0.9597265143474182,0.8911284903957511
3.95,0.9600700298999645,0.8918618703594113
3.96,0.9604104600675716,0.8925890488078684
3.97,0.9607477765362642,0.8933100257411295
3.98,0.9610819793060836,0.8940255101538442
3.99,0.9614130683770019,0.8947359887673211
4,0.9617410437490288,0.8954406728228238
4.01,0.9620659054221551,0.8961395623203464
4.0200000000000005,0.962373028117325,0.8968326572598864
4.03,0.962676741118263,0.8975199576414447
4.04,0.9629804541192005,0.8982014634650248
4.05,0.9632841671201354,0.8988771747306161
4.0600000000000005,0.9635878801210781,0.8995485616982527
4.07,0.9638915931220081,0.900214572900481
4.08,0.9641953061229578,0.9008751528641131
4.09,0.9644764272817169,0.9015303015891285
4.1,0.9647476474332897,0.9021800190755439
4.11,0.9650188675848629,0.9028243053233529
4.12,0.9652900877364368,0.903463160332553
4.13,0.9655613078880054,0.9040972597877408
4.14,0.9658325280395691,0.9047269283501291
4.15,0.9661037481911453,0.9053515208792398
4.16,0.9663749683427185,0.9059710373750532
4.17,0.9666461884942903,0.906585477837575
4.18,0.9669174086458565,0.9071948422668147
4.19,0.9671886287974275,0.9077991306627555
4.2,0.9674598489490001,0.9083983430254091
4.21,0.9677310691005682,0.9089939016074763
4.22,0.9680022892521386,0.9095847243474132
4.23,0.9682610637335118,0.910170807556291
4.24,0.9685039263863229,0.9107521512341168
4.25,0.9687467890391475,0.9113287553808767
4.26,0.968989651691961,0.9119006199965881
4.2700000000000005,0.9692325143447799,0.9124677450812386
4.28,0.9694753769975941,0.913030756191649
4.29,0.9697182396504085,0.9135898440234418
4.3,0.9699611023032251,0.914144495442042
4.3100000000000005,0.9702039649560472,0.9146947104474349
4.32,0.970446827608859,0.9152404890396252
4.33,0.9706896902616765,0.9157818312186227
4.34,0.9709325529144972,0.9163187369844178
4.3500000000000005,0.971175415567314,0.9168512462602375
4.36,0.9714182782201286,0.9173805702932069
4.37,0.9716565810613911,0.9179057598770503
4.38,0.9718744560723599,0.9184268150117929
4.39,0.9720923310833277,0.9189437356974228
4.4,0.9723102060942834,0.9194565219339426
4.41,0.9725280811052425,0.919965173721345
4.42,0.972745956116204,0.9204696910596463
4.43,0.9729638311271669,0.9209706691580999
4.44,0.9731817061381286,0.9214681992514998
4.45,0.9733995811490868,0.9219618622015291
4.46,0.9736174561600529,0.9224516580082124
4.47,0.9738353311710116,0.922937586671531
4.48,0.9740532061819754,0.9234196481915005
4.49,0.9742710811929377,0.9238978425681019
4.5,0.9744889562039034,0.9243722384264196
4.51,0.9747068312148625,0.9248437678476106
4.5200000000000005,0.9749041363206097,0.9253116780135892
4.53,0.9750997995470202,0.9257759689243531
4.54,0.9752954627734469,0.9262366405798906
4.55,0.9754911259998528,0.926693692980212
4.5600000000000005,0.9756867892262749,0.927147126125323
4.57,0.9758824524526979,0.9275969400152154
4.58,0.9760781156791132,0.9280437216462842
4.59,0.9762737789055322,0.9284874834418191
4.6000000000000005,0.9764694421319476,0.9289278714735177
4.61,0.9766651053583637,0.929364885741356
4.62,0.9768607685847808,0.929798526245379
4.63,0.9770564318112039,0.9302287929855481
4.64,0.9772520950376229,0.9306556859618729
4.65,0.9774477582640415,0.931079300136447
4.66,0.9776300199898089,0.931500422755742
4.67,0.977805671381333,0.9319183961511688
4.68,0.9779813227728634,0.9323332203227392
4.69,0.9781569741643887,0.9327448952704444
4.7,0.9783326255559104,0.9331534209942773
4.71,0.9785082769474394,0.9335587974942557
4.72,0.9786839283389728,0.9339610247703672
4.73,0.9788595797305003,0.9343606335558706
