% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 1 2025, 22:49"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)"
0.004730000000000001,4.628459894520178E-37
0.00474,6.774288979671976E-37
0.004750000000000001,9.044057054464958E-37
0.00476,1.143776411889873E-36
0.004770000000000001,1.3955410172973706E-36
0.00478,1.6596995216689457E-36
0.00479,1.8133618111465452E-36
0.0048000000000000004,1.911587532403968E-36
0.00481,1.998885902099097E-36
0.0048200000000000005,2.0752569202319452E-36
0.00483,2.1407005868025025E-36
0.0048400000000000006,2.195216901810777E-36
0.00485,2.238805865256761E-36
0.004860000000000001,2.2714674771404628E-36
0.00487,2.2932017374618746E-36
0.004880000000000001,2.304008646221002E-36
0.00489,2.3038882034178423E-36
0.004900000000000001,2.2928404090523948E-36
0.00491,2.270865263124663E-36
0.004920000000000001,2.2379627656346426E-36
0.00493,2.063602422499525E-36
0.004940000000000001,1.826655377870473E-36
0.00495,1.556729897146845E-36
0.00496,1.2538259803286243E-36
0.0049700000000000005,9.179436274157809E-37
0.00498,5.490828384083702E-37
0.0049900000000000005,1.4724361330633191E-37
0.005,-2.8757404789026706E-37
0.0050100000000000006,-7.553701451815011E-37
0.00502,-1.2561446785672889E-36
0.005030000000000001,-1.7898976480477184E-36
0.00504,-2.3566290536226954E-36
0.005050000000000001,-2.956338895292319E-36
0.00506,-3.589027173056484E-36
0.005070000000000001,-3.992223385690174E-36
0.00508,-4.357764936553401E-36
0.005090000000000001,-4.716374922717808E-36
0.0051,-5.068053344183332E-36
0.005110000000000001,-5.412800200950037E-36
0.00512,-5.750615493017864E-36
0.00513,-6.081499220386836E-36
0.0051400000000000005,-6.405451383056987E-36
0.00515,-6.72247198102826E-36
0.0051600000000000005,-7.032561014300706E-36
0.00517,-7.335718482874279E-36
0.005180000000000001,-7.631944386749024E-36
0.00519,-7.921238725924892E-36
0.005200000000000001,-8.203601500401935E-36
0.00521,-7.92607052073472E-36
0.005220000000000001,-7.550743903570628E-36
0.00523,-7.092117633405116E-36
0.005240000000000001,-6.550191710238106E-36
0.00525,-5.924966134069691E-36
0.005260000000000001,-5.2164409048997596E-36
0.00527,-4.4246160227284417E-36
0.005280000000000001,-3.549491487555596E-36
0.00529,-2.591067299381374E-36
0.0053,-1.549343458205705E-36
0.0053100000000000005,-4.2431996402848485E-37
0.00532,7.840031831500884E-37
0.0053300000000000005,2.0756259833302245E-36
0.00534,3.436578741750838E-36
0.005350000000000001,4.630546008478366E-36
0.00536,5.872648173819753E-36
0.005370000000000001,7.162885237775215E-36
0.00538,8.501257200344527E-36
0.005390000000000001,9.887764061527923E-36
0.0054,1.1322405821325161E-35
0.005410000000000001,1.280518247973649E-35
0.00542,1.433609403676165E-35
0.005430000000000001,1.591514049240091E-35
0.00544,1.7542321846654E-35
0.005450000000000001,1.921763809952119E-35
0.0054600000000000004,2.094108925100221E-35
0.00547,2.2712675301097175E-35
0.0054800000000000005,2.434479178012798E-35
0.00549,2.477473231520694E-35
0.0055000000000000005,2.5063582516988086E-35
0.00551,2.521134238547139E-35
0.005520000000000001,2.521801192065688E-35
0.00553,2.508359112254453E-35
0.005540000000000001,2.4808079991134347E-35
0.00555,2.4391478526426357E-35
0.005560000000000001,2.38337867284205E-35
0.00557,2.313500459711686E-35
0.005580000000000001,2.2295132132515336E-35
0.00559,2.131416933461606E-35
0.005600000000000001,2.0192116203418855E-35
0.00561,1.8928972738923929E-35
0.005620000000000001,1.7394557276936375E-35
0.0056300000000000005,1.5221236751711877E-35
0.00564,1.2825089153993385E-35
0.0056500000000000005,1.0206114483780648E-35
0.00566,7.364312741074141E-36
0.0056700000000000006,4.299683925873355E-36
0.00568,1.012228038178835E-36
0.005690000000000001,-2.498054922009991E-36
0.0057,-6.231164954692523E-36
0.005710000000000001,-1.0187102059869407E-35
0.00572,-1.436586623753996E-35
0.005730000000000001,-1.8767457487704878E-35
0.00574,-2.3391875810363434E-35
0.005750000000000001,-2.8239121205516416E-35
0.00576,-3.2613578789141523E-35
0.005770000000000001,-3.545169332378842E-35
0.00578,-3.819659628018314E-35
0.005790000000000001,-4.08482876583261E-35
0.0058000000000000005,-4.3406767458216865E-35
0.00581,-4.587203567985569E-35
0.0058200000000000005,-4.824409232324279E-35
0.00583,-5.052293738837768E-35
0.005840000000000001,-5.270857087526083E-35
0.00585,-5.48009927838918E-35
0.005860000000000001,-5.6800203114271E-35
0.00587,-5.870620186639808E-35
0.005880000000000001,-6.051898904027336E-35
0.00589,-6.223856463589651E-35
0.005900000000000001,-6.263510402344673E-35
0.00591,-6.073985358913565E-35
0.005920000000000001,-5.831473882501561E-35
0.00593,-5.535975973108696E-35
0.005940000000000001,-5.187491630734927E-35
0.00595,-4.786020855380306E-35
0.005960000000000001,-4.3315636470447715E-35
0.0059700000000000005,-3.824120005728397E-35
0.00598,-3.263689931431146E-35
0.0059900000000000005,-2.650273424152965E-35
0.006,-1.9838704838939586E-35
0.006010000000000001,-1.2644811106540133E-35
0.00602,-4.9210530443325225E-36
0.006030000000000001,3.3325693476845935E-36
0.00604,1.1293253514769422E-35
0.006050000000000001,1.8707930865344886E-35
0.00606,2.6413216872326973E-35
0.006070000000000001,3.4409111535717053E-35
0.00608,4.269561485551369E-35
0.006090000000000001,5.127272683171836E-35
0.0061,6.014044746432956E-35
0.006110000000000001,6.92987767533488E-35
0.0061200000000000004,7.874771469877454E-35
0.006130000000000001,8.848726130060837E-35
0.0061400000000000005,9.85174165588487E-35
0.00615,1.0883818047349622E-34
0.0061600000000000005,1.194495530445519E-34
0.00617,1.3035153427201405E-34
0.006180000000000001,1.3716801488262002E-34
0.00619,1.4002516308912276E-34
0.006200000000000001,1.4209734582088077E-34
0.00621,1.433845630778938E-34
0.006220000000000001,1.4388681486016202E-34
0.00623,1.4360410116768525E-34
0.006240000000000001,1.4253642200046354E-34
0.00625,1.406837773584971E-34
0.006260000000000001,1.3804616724178552E-34
0.00627,1.3462359165032929E-34
0.006280000000000001,1.3041605058412781E-34
0.0062900000000000005,1.254235440431819E-34
0.006300000000000001,1.196460720274906E-34
0.0063100000000000005,1.1308363453705493E-34
0.00632,1.027746804884304E-34
0.0063300000000000006,8.954153618829682E-35
0.00634,7.489402325055754E-35
0.006350000000000001,5.883214167521004E-35
0.00636,4.135589146225714E-35
0.006370000000000001,2.2465272611695735E-35
0.00638,2.1602851235292023E-36
0.006390000000000001,-1.955907100224608E-35
0.0064,-4.2692795765626254E-35
0.006410000000000001,-6.724088916661544E-35
0.00642,-9.320335120520925E-35
0.006430000000000001,-1.2058018188141233E-34
0.00644,-1.4937138119521978E-34
0.006450000000000001,-1.795769491466367E-34
0.0064600000000000005,-2.036573798780524E-34
0.006470000000000001,-2.2515035025639974E-34
0.0064800000000000005,-2.466482060088871E-34
0.00649,-2.6815094713551632E-34
0.006500000000000001,-2.8965857363628915E-34
0.00651,-3.1117108551120196E-34
0.006520000000000001,-3.326884827602586E-34
0.00653,-3.54210765383455E-34
0.006540000000000001,-3.7573793338079543E-34
0.00655,-3.972699867522755E-34
0.006560000000000001,-4.188069254978995E-34
0.00657,-4.403487496176635E-34
0.006580000000000001,-4.618954591115711E-34
0.00659,-4.834470539796186E-34
0.006600000000000001,-4.887413709773229E-34
0.00661,-4.8788120959578965E-34
0.006620000000000001,-4.843155785096408E-34
0.0066300000000000005,-4.780444777188772E-34
0.006640000000000001,-4.69067907223498E-34
0.0066500000000000005,-4.573858670235041E-34
0.00666,-4.429983571188952E-34
0.006670000000000001,-4.259053775096697E-34
