% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 11:30"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
5.34,-3.3283945052233606E-55
5.3500000000000005,-3.717797380015063E-55
5.36,-4.131028939847459E-55
5.37,-4.5680891847205194E-55
5.38,-5.028978114634204E-55
5.39,-5.513695729588638E-55
5.4,-6.022242029583837E-55
5.41,-6.554617014619544E-55
5.42,-7.391348554156445E-55
5.43,-8.59115617490255E-55
5.44,-9.897733991320837E-55
5.45,-1.1311082003411238E-54
5.46,-1.2831200211173549E-54
5.47,-1.4458088614608103E-54
5.48,-1.6191747213715033E-54
5.49,-1.80321760084937E-54
5.5,-1.9979374998944658E-54
5.51,-2.2033344185067623E-54
5.5200000000000005,-2.4194083566863043E-54
5.53,-2.646159314433025E-54
5.54,-2.8835872917469616E-54
5.55,-3.2758886656540856E-54
5.5600000000000005,-3.819527825690685E-54
5.57,-4.4116532596279363E-54
5.58,-5.0522649674659084E-54
5.59,-5.741362949204611E-54
5.6000000000000005,-6.478947204844049E-54
5.61,-7.265017734384028E-54
5.62,-8.09957453782492E-54
5.63,-8.982617615166379E-54
5.64,-9.914146966408556E-54
5.65,-1.0894162591551633E-53
5.66,-1.1922664490595264E-53
5.67,-1.2999652663539496E-53
5.68,-1.486074156307076E-53
5.69,-1.7349675314556593E-53
5.7,-2.0060216515788564E-53
5.71,-2.299236516676681E-53
5.72,-2.614612126749155E-53
5.73,-2.952148481796307E-53
5.74,-3.3118455818180256E-53
5.75,-3.6937034268143905E-53
5.76,-4.0977220167854485E-53
5.7700000000000005,-4.523901351731139E-53
5.78,-4.97224143165146E-53
5.79,-5.442742256546371E-53
5.8,-5.935403826415986E-53
5.8100000000000005,-6.822244759268877E-53
5.82,-7.966841476541342E-53
5.83,-9.212949829954809E-53
5.84,-1.0560569819509516E-52
5.8500000000000005,-1.2009701445205476E-52
5.86,-1.356034470704244E-52
5.87,-1.521249960502044E-52
5.88,-1.6966166139139574E-52
5.89,-1.8821344309399952E-52
5.9,-2.07780341158017E-52
5.91,-2.2836235558344154E-52
5.92,-2.4995948637028067E-52
5.93,-2.725717335185303E-52
5.94,-3.148347951027235E-52
5.95,-3.675110994745297E-52
5.96,-4.248343517135598E-52
5.97,-4.868045518198222E-52
5.98,-5.534216997933058E-52
5.99,-6.246857956340113E-52
6,-7.005968393419399E-52
6.01,-7.811548309170905E-52
6.0200000000000005,-8.663597703594795E-52
6.03,-9.562116576690817E-52
6.04,-1.0507104928459128E-51
6.05,-1.1498562758899614E-51
6.0600000000000005,-1.2536490068012415E-51
6.07,-1.4545044589006727E-51
6.08,-1.6964995683596056E-51
6.09,-1.9597096825785096E-51
6.1000000000000005,-2.2441348015574E-51
6.11,-2.5497749252962092E-51
6.12,-2.8766300537949743E-51
6.13,-3.2247001870537043E-51
